2025-06-04 13:46:00,020 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-06-04 13:46:33,830 | ERROR    | PolicyReasoningAgent | Unable to generate detailed explanation: Unknown api key
2025-06-04 13:47:41,040 | ERROR    | PolicyReasoningAgent | Unable to generate detailed explanation: Unknown api key
2025-06-04 13:48:45,620 | ERROR    | PolicyReasoningAgent | Unable to generate detailed explanation: Unknown api key
2025-06-04 13:54:32,441 | ERROR    | PolicyReasoningAgent | Unable to generate detailed explanation: Unknown api key
2025-06-04 14:47:03,823 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-06-04 14:47:18,761 | ERROR    | PolicyReasoningAgent | Unable to generate detailed explanation: Unknown api key
2025-06-04 14:58:29,333 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-06-04 14:58:54,963 | ERROR    | PolicyReasoningAgent | Unable to generate detailed explanation: Unknown api key
2025-06-04 15:01:21,037 | ERROR    | PolicyReasoningAgent | Unable to generate detailed explanation: Unknown api key
2025-06-04 15:02:01,625 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-06-04 15:02:23,746 | ERROR    | PolicyReasoningAgent | Unable to generate detailed explanation: Unknown api key
2025-06-04 15:10:52,048 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-06-04 15:10:57,361 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-06-04 15:12:48,805 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client
2025-06-04 15:13:10,120 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-06-04 15:29:34,563 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client with LangChain
2025-06-04 15:30:09,972 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-06-04 15:34:02,807 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-06-04 15:34:56,844 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client with LangChain
2025-06-04 15:35:16,479 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-06-04 15:35:40,374 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-06-04 16:00:26,392 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client with LangChain
2025-06-04 16:00:47,139 | INFO     | PolicyReasoningAgent | Successfully generated explanation
2025-06-04 16:11:10,580 | INFO     | PolicyReasoningAgent | Successfully initialized Azure OpenAI client with LangChain
2025-06-04 16:11:26,267 | INFO     | PolicyReasoningAgent | Successfully generated explanation
