2025-06-04 13:45:49,178 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-04 13:45:52,682 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-04 13:45:52,683 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-04 13:45:54,728 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-04 13:45:56,781 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-04 13:45:58,821 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-04 13:45:58,822 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-04 13:46:33,052 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-04 13:47:39,945 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-04 13:48:44,856 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-04 13:54:31,690 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-04 14:46:53,772 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-04 14:46:56,748 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-04 14:46:56,749 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-04 14:46:58,801 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-04 14:47:00,863 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-04 14:47:02,910 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-04 14:47:02,911 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-04 14:47:17,723 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-04 14:58:19,756 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-04 14:58:22,434 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-04 14:58:22,435 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-04 14:58:24,466 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-04 14:58:26,514 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-04 14:58:28,579 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-04 14:58:28,580 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
