2025-06-06 00:03:02,111 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 00:03:05,112 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 00:03:05,113 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 00:03:07,196 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 00:03:09,224 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:03:11,268 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:03:11,270 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 00:03:16,103 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 00:03:16,103 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 00:03:18,900 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 00:03:18,900 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 00:03:18,900 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 00:03:18,900 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 00:03:20,945 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 00:03:20,945 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 00:03:22,999 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:03:22,999 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:03:25,048 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:03:25,048 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:03:25,049 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 00:03:25,049 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 00:03:34,367 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 00:03:37,670 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 00:03:37,671 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 00:03:39,709 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 00:03:41,767 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:03:43,798 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 00:03:43,798 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 00:03:49,598 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 00:03:49,598 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 00:03:52,590 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 00:03:52,590 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 00:03:52,591 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
